<<<<<<< HEAD
state,station_count
AK,25
AL,49
AR,49
AZ,92
CA,592
CO,132
CT,114
DC,39
DE,34
FL,165
GA,106
HI,74
IA,38
ID,38
IL,132
IN,63
KS,26
KY,44
LA,59
MA,130
MD,88
ME,77
MI,128
MN,91
MO,59
MS,39
MT,27
NC,132
ND,21
NE,23
NH,62
NJ,102
NM,23
NV,52
NY,172
OH,132
OK,58
OR,115
PA,128
PR,2
RI,35
SC,81
SD,20
TN,87
TX,164
UT,65
VA,137
VT,61
WA,129
WI,67
WV,41
WY,21
=======
state,station_count
AK,25
AL,49
AR,49
AZ,92
CA,592
CO,132
CT,114
DC,39
DE,34
FL,165
GA,106
HI,74
IA,38
ID,38
IL,132
IN,63
KS,26
KY,44
LA,59
MA,130
MD,88
ME,77
MI,128
MN,91
MO,59
MS,39
MT,27
NC,132
ND,21
NE,23
NH,62
NJ,102
NM,23
NV,52
NY,172
OH,132
OK,58
OR,115
PA,128
PR,2
RI,35
SC,81
SD,20
TN,87
TX,164
UT,65
VA,137
VT,61
WA,129
WI,67
WV,41
WY,21
>>>>>>> 5eeee65df7e3b80b2ae52fe7bb8e52fe0e6c57af
